Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_000143605	SSU_7:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1:1:1:1:1	Bacillus cereus biovar anthracis str. CI	Bacillus cereus	CI
GCA_000143685	SSU_3:SSU_1:SSU_2:SSU_4	6:1:1:1	Clostridium ljungdahlii DSM 13528	Clostridium ljungdahlii	DSM 13528
GCA_000143705	SSU_1	4	Corynebacterium pseudotuberculosis FRC41	Corynebacterium pseudotuberculosis	FRC41
GCA_000143725	SSU_1	1	Brachyspira pilosicoli 95/1000	Brachyspira pilosicoli	95/1000
GCA_000143845	SSU_1	1	Olsenella uli DSM 7084	Olsenella uli	DSM 7084
GCA_000143865	SSU_1:SSU_2	1:1	Mycoplasma mycoides subsp. mycoides SC str. Gladysdale	Mycoplasma mycoides	Gladysdale
GCA_000143885	SSU_2:SSU_1	2:1	Gordonia sp. KTR9	Gordonia sp.	KTR9
GCA_000143945	SSU_1	1	Mycoplasma pneumoniae FH	Mycoplasma pneumoniae	FH
GCA_000143965	SSU_1	1	Desulfarculus baarsii DSM 2075	Desulfarculus baarsii	DSM 2075
GCA_000143985	SSU_1:SSU_2	1:1	Sediminispirochaeta smaragdinae DSM 11293	Sediminispirochaeta smaragdinae	DSM 11293
GCA_000144405	SSU_1:SSU_2	2:2	Prevotella melaninogenica ATCC 25845	Prevotella melaninogenica	ATCC 25845
GCA_000144605	SSU_1	2	Brevundimonas subvibrioides ATCC 15264	Brevundimonas subvibrioides	ATCC 15264
GCA_000144625	SSU_3:SSU_1:SSU_2:SSU_4	3:1:1:1	[Clostridium] saccharolyticum WM1	[Clostridium] saccharolyticum	WM1
GCA_000144645	SSU_1:SSU_2	2:1	Thermosediminibacter oceani DSM 16646	Thermosediminibacter oceani	DSM 16646
GCA_000144675	SSU_1	4	Corynebacterium pseudotuberculosis C231	Corynebacterium pseudotuberculosis	C231
GCA_000144695	SSU_2:SSU_1	4:1	Acetohalobium arabaticum DSM 5501	Acetohalobium arabaticum	DSM 5501
GCA_000144915	SSU_1	1	Acidilobus saccharovorans 345-15	Acidilobus saccharovorans	345-15
GCA_000144935	SSU_1:SSU_2	2:2	Corynebacterium pseudotuberculosis 1002	Corynebacterium pseudotuberculosis	1002
GCA_000144955	SSU_1:SSU_2:SSU_3	3:1:1	Staphylococcus aureus subsp. aureus JKD6159	Staphylococcus aureus	JKD6159
GCA_000145035	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	2:1:1:1:1	Butyrivibrio proteoclasticus B316	Butyrivibrio proteoclasticus	B316
GCA_000145215	SSU_1:SSU_2:SSU_3	1:1:1	Caldicellulosiruptor obsidiansis OB47	Caldicellulosiruptor obsidiansis	OB47
GCA_000145235	SSU_2:SSU_1	2:1	Micromonospora aurantiaca ATCC 27029	Micromonospora aurantiaca	ATCC 27029
GCA_000145255	SSU_1	3	Gallionella capsiferriformans ES-2	Gallionella capsiferriformans	ES-2
GCA_000145275	SSU_2:SSU_4:SSU_1:SSU_3	5:2:1:1	Clostridium cellulovorans 743B	Clostridium cellulovorans	743B
GCA_000145295	SSU_1:SSU_2	1:1	Methanothermobacter marburgensis str. Marburg	Methanothermobacter marburgensis	Marburg
GCA_000145595	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus aureus subsp. aureus str. JKD6008	Staphylococcus aureus	JKD6008
GCA_000145615	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Thermoanaerobacterium thermosaccharolyticum DSM 571	Thermoanaerobacterium thermosaccharolyticum	DSM 571
GCA_000145705	SSU_1	1	Mycoplasma hyorhinis HUB-1	Mycoplasma hyorhinis	HUB-1
GCA_000145985	SSU_1	1	Ignisphaera aggregans DSM 17230	Ignisphaera aggregans	DSM 17230
GCA_000146025	SSU_1	1	uncultured Termite group 1 bacterium phylotype Rs-D17	uncultured Termite	Rs-D17
GCA_000146065	SSU_1:SSU_2	1:1	Candidatus Cloacimonas acidaminovorans str. Evry	Candidatus Cloacimonas	Evry
GCA_000146165	SSU_3:SSU_1:SSU_2:SSU_4	4:3:1:1	Shewanella oneidensis MR-1	Shewanella oneidensis	MR-1
GCA_000146185	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	[Eubacterium] eligens ATCC 27750	[Eubacterium] eligens	ATCC 27750
GCA_000146265	SSU_1	6	Aggregatibacter actinomycetemcomitans D11S-1	Aggregatibacter actinomycetemcomitans	D11S-1
GCA_000146305	SSU_1	8	Edwardsiella tarda FL6-60	Edwardsiella tarda	FL6-60
GCA_000146505	SSU_1:SSU_2:SSU_3	1:1:1	Fibrobacter succinogenes subsp. succinogenes S85	Fibrobacter succinogenes	S85
GCA_000146565	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3	2:1:1:1:1:1:1	Bacillus subtilis subsp. spizizenii str. W23	Bacillus subtilis	W23
GCA_000146875	SSU_5:SSU_8:SSU_1:SSU_9:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:2:2:1:1:1:1:1:1	Paenibacillus polymyxa E681	Paenibacillus polymyxa	E681
GCA_000146975	SSU_1:SSU_2:SSU_3	2:1:1	Streptococcus pneumoniae AP200	Streptococcus pneumoniae	AP200
GCA_000147015	SSU_1	1	Candidatus Zinderia insecticola CARI	Candidatus Zinderia	CARI
GCA_000147035	SSU_1	1	Candidatus Sulcia muelleri CARI	Candidatus Sulcia	CARI
GCA_000147055	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Dickeya dadantii 3937	Dickeya dadantii	3937
GCA_000147075	SSU_1	2	Spirochaeta thermophila DSM 6192	Spirochaeta thermophila	DSM 6192
GCA_000147095	SSU_1	4	Streptococcus pneumoniae 670-6B	Streptococcus pneumoniae	670-6B
GCA_000147335	SSU_1:SSU_2:SSU_3	1:1:1	Cyanothece sp. PCC 7822	Cyanothece sp.	PCC 7822
GCA_000147355	SSU_2:SSU_1:SSU_3	2:1:1	Sulfurimonas autotrophica DSM 16294	Sulfurimonas autotrophica	DSM 16294
GCA_000147695	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Thermoanaerobacter wiegelii Rt8.B1	Thermoanaerobacter wiegelii	Rt8.B1
GCA_000147715	SSU_1:SSU_2	1:1	Mesotoga prima MesG1.Ag.4.2	Mesotoga prima	MesG1.Ag.4.2
GCA_000147735	SSU_5:SSU_4:SSU_1:SSU_2:SSU_6:SSU_3	4:2:1:1:1:1	Shewanella baltica BA175	Shewanella baltica	BA175
GCA_000147775	SSU_2:SSU_1	2:1	Sinorhizobium meliloti BL225C	Sinorhizobium meliloti	BL225C
GCA_000147795	SSU_1:SSU_2:SSU_3	1:1:1	Sinorhizobium meliloti AK83	Sinorhizobium meliloti	AK83
GCA_000147815	SSU_3:SSU_1:SSU_2:SSU_4	3:1:1:1	Streptomyces violaceusniger Tu 4113	Streptomyces violaceusniger	Tu 4113
GCA_000147835	SSU_1	3	Sphingobium chlorophenolicum L-1	Sphingobium chlorophenolicum	L-1
GCA_000147855	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	3:1:1:1:1	Escherichia coli KO11FL	Escherichia coli	KO11
GCA_000147875	SSU_1	2	Methanolacinia petrolearia DSM 11571	Methanolacinia petrolearia	DSM 11571
GCA_000148365	SSU_1:SSU_5:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli ABU 83972	Escherichia coli	ABU 83972
GCA_000148385	SSU_1	1	Vulcanisaeta distributa DSM 14429	Vulcanisaeta distributa	DSM 14429
GCA_000148405	SSU_1	2	Xylella fastidiosa subsp. fastidiosa GB514	Xylella fastidiosa	GB514
GCA_000148425	SSU_1:SSU_2	2:2	Thermoanaerobacter sp. X513	Thermoanaerobacter sp.	X513
GCA_000148585	SSU_2:SSU_1	3:1	Streptococcus mitis NCTC 12261	Streptococcus mitis	NCTC 12261
GCA_000148605	SSU_5:SSU_2:SSU_1:SSU_3:SSU_4	2:2:1:1:1	Escherichia coli UM146	Escherichia coli	UM146
GCA_000148625	SSU_1:SSU_2	1:1	Mycoplasma fermentans JER	Mycoplasma fermentans	JER
GCA_000148645	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	3:1:1:1:1	Ferrimonas balearica DSM 9799	Ferrimonas balearica	DSM 9799
GCA_000148665	SSU_1	1	Helicobacter pylori 908	Helicobacter pylori	908
GCA_000148685	SSU_1	6	Burkholderia sp. CCGE1003	Burkholderia sp.	CCGE1003
GCA_000148705	SSU_1:SSU_2	2:1	Campylobacter jejuni subsp. jejuni M1	Campylobacter jejuni	M1
GCA_000148815	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus plantarum subsp. plantarum ST-III	Lactobacillus plantarum	ST-III
GCA_000148855	SSU_1	2	Helicobacter pylori SJM180	Helicobacter pylori	SJM180
GCA_000148875	SSU_1	2	Helicobacter pylori PeCan4	Helicobacter pylori	PeCan4
GCA_000148895	SSU_1	2	Helicobacter pylori Cuz20	Helicobacter pylori	Cuz20
GCA_000148915	SSU_1	2	Helicobacter pylori Sat464	Helicobacter pylori	Sat464
GCA_000148935	SSU_2:SSU_5:SSU_1:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Pantoea vagans C9-1	Pantoea vagans	C9-1
GCA_000151105	SSU_1	1	Thermococcus barophilus MP	Thermococcus barophilus	MP
GCA_000151205	SSU_1	1	Thermococcus sp. AM4	Thermococcus sp.	AM4
GCA_000152065	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Corynebacterium pseudotuberculosis I19	Corynebacterium pseudotuberculosis	I19
GCA_000152165	SSU_1:SSU_2	2:2	Neisseria meningitidis alpha710	Neisseria meningitidis	alpha710
GCA_000152245	SSU_2:SSU_1	3:2	Eubacterium callanderi	Eubacterium callanderi	KIST612
GCA_000152265	SSU_1	1	Ferroplasma acidarmanus fer1	Ferroplasma acidarmanus	fer1
GCA_000152825	SSU_1	1	Parvularcula bermudensis HTCC2503	Parvularcula bermudensis	HTCC2503
GCA_000152925	SSU_1	3	Dokdonia sp. MED134	Dokdonia sp.	MED134
GCA_000152945	SSU_1	2	Polaribacter sp. MED152	Polaribacter sp.	MED152
GCA_000153165	SSU_1	2	Maribacter sp. HTCC2170	Maribacter sp.	HTCC2170
GCA_000153405	SSU_1:SSU_2:SSU_3	6:2:2	Psychromonas sp. CNPT3	Psychromonas sp.	CNPT3
GCA_000153485	SSU_1:SSU_2	2:1	Psychroflexus torquis ATCC 700755	Psychroflexus torquis	ATCC 700755
GCA_000153685	SSU_1	1	Mycobacterium tuberculosis str. Haarlem	Mycobacterium tuberculosis	Haarlem
GCA_000154585	SSU_1	1	Mycobacterium tuberculosis KZN 4207	Mycobacterium tuberculosis	KZN 4207
GCA_000154605	SSU_1	1	Mycobacterium tuberculosis KZN 605	Mycobacterium tuberculosis	KZN 605
GCA_000154745	SSU_1	4	Phaeobacter inhibens 2.10	Phaeobacter inhibens	2.1
GCA_000154765	SSU_1	4	Phaeobacter inhibens DSM 17395	Phaeobacter inhibens	DSM 17395
GCA_000154785	SSU_1	1	Roseobacter litoralis Och 149	Roseobacter litoralis	Och 149
GCA_000155515	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus paracasei subsp. paracasei 8700:2	Lactobacillus paracasei	362.5013889
GCA_000155675	SSU_1	2	Octadecabacter antarcticus 307	Octadecabacter antarcticus	307
GCA_000155735	SSU_1:SSU_2	1:1	Octadecabacter arcticus 238	Octadecabacter arcticus	238
GCA_000156855	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Neisseria gonorrhoeae MS11	Neisseria gonorrhoeae	MS11
GCA_000157355	SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1	Enterococcus casseliflavus EC20	Enterococcus casseliflavus	EC20
GCA_000157895	SSU_1	1	Mycobacterium kansasii ATCC 12478	Mycobacterium kansasii	ATCC 12478
GCA_000158275	SSU_3:SSU_1:SSU_2	3:1:1	Fusobacterium nucleatum subsp. animalis 7_1	Fusobacterium nucleatum	7_1
GCA_000159155	SSU_1	2	Gardnerella vaginalis ATCC 14019	Gardnerella vaginalis	ATCC 14019
GCA_000159455	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Lactobacillus reuteri SD2112	Lactobacillus reuteri	SD2112
GCA_000159535	SSU_3:SSU_2:SSU_1	3:2:1	Staphylococcus aureus subsp. aureus TCH60	Staphylococcus aureus	TCH60
GCA_000160335	SSU_1:SSU_2	3:1	Staphylococcus aureus subsp. aureus 55/2053	Staphylococcus aureus	55/2053
GCA_000161795	SSU_1	2	Synechococcus sp. WH 8109	Synechococcus sp.	WH 8109
GCA_000162235	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Fusobacterium nucleatum subsp. vincentii 3_1_36A2	Fusobacterium nucleatum	3_1_36A2
GCA_000163055	SSU_2:SSU_1	3:1	Prevotella sp. oral taxon 299 str. F0039	Prevotella sp.	F0039
GCA_000163615	SSU_1	6	Aggregatibacter actinomycetemcomitans D7S-1	Aggregatibacter actinomycetemcomitans	D7S-1
GCA_000163895	SSU_2:SSU_1	3:1	Filifactor alocis ATCC 35896	Filifactor alocis	ATCC 35896
GCA_000163915	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Fusobacterium nucleatum subsp. vincentii 3_1_27	Fusobacterium nucleatum	3_1_27
GCA_000164015	SSU_1	5	Pseudomonas savastanoi pv. savastanoi NCPPB 3335	Pseudomonas savastanoi	NCPPB 3335
GCA_000164675	SSU_1	4	Streptococcus parasanguinis ATCC 15912	Streptococcus parasanguinis	ATCC 15912
GCA_000164695	SSU_1	3	Rothia dentocariosa ATCC 17931	Rothia dentocariosa	ATCC 17931
GCA_000164865	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	[Enterobacter] lignolyticus SCF1	[Enterobacter] lignolyticus	SCF1
GCA_000164885	SSU_2:SSU_1	4:1	Ketogulonicigenium vulgare Y25	Ketogulonicigenium vulgare	Y25
GCA_000164905	SSU_1	1	Hydrogenobacter thermophilus TK-6	Hydrogenobacter thermophilus	TK-6
GCA_000164965	SSU_1	3	Bifidobacterium bifidum S17	Bifidobacterium bifidum	S17
GCA_000164985	SSU_5:SSU_9:SSU_8:SSU_13:SSU_10:SSU_1:SSU_2:SSU_11:SSU_6:SSU_7:SSU_3:SSU_12:SSU_4	1:1:1:1:1:1:1:1:1:1:1:1:1	Paenibacillus polymyxa SC2	Paenibacillus polymyxa	SC2
GCA_000165465	SSU_2:SSU_1	3:1	Halanaerobium praevalens DSM 2228	Halanaerobium praevalens	DSM 2228
GCA_000165485	SSU_1:SSU_2	1:1	Stigmatella aurantiaca DW4/3-1	Stigmatella aurantiaca	DW4/3-1
GCA_000165505	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	3:2:1:1:1	Ilyobacter polytropus DSM 2926	Ilyobacter polytropus	DSM 2926
GCA_000165525	SSU_1	6	Haemophilus influenzae R2866	Haemophilus influenzae	R2866
GCA_000165575	SSU_1	6	Haemophilus influenzae R2846	Haemophilus influenzae	R2846
GCA_000165715	SSU_1	2	Rubinisphaera brasiliensis DSM 5305	Rubinisphaera brasiliensis	DSM 5305
GCA_000165775	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Lactobacillus helveticus R0052	Lactobacillus helveticus	R0052
GCA_000165815	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Erwinia sp. Ejp617	Erwinia sp.	Ejp617
GCA_000165835	SSU_1	3	Achromobacter xylosoxidans A8	Achromobacter xylosoxidans	A8
GCA_000165905	SSU_1	3	Bifidobacterium bifidum PRL2010	Bifidobacterium bifidum	PRL2010
GCA_000165925	SSU_4:SSU_3:SSU_1:SSU_2	3:2:1:1	Bacillus atrophaeus 1942	Bacillus atrophaeus	1942
GCA_000166055	SSU_1:SSU_2	1:1	Rhodomicrobium vannielii ATCC 17100	Rhodomicrobium vannielii	ATCC 17100
GCA_000166075	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	4:1:1:1:1:1:1	Geobacillus sp. Y4.1MC1	Geobacillus sp.	Y4.1MC1
GCA_000166095	SSU_1:SSU_2	1:1	Methanothermus fervidus DSM 2088	Methanothermus fervidus	DSM 2088
GCA_000166115	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Desulfovibrio vulgaris RCH1	Desulfovibrio vulgaris	RCH1
GCA_000166135	SSU_1:SSU_2	2:1	Frankia inefficax	Frankia inefficax	EuI1c
GCA_000166295	SSU_1	3	Marinobacter adhaerens HP15	Marinobacter adhaerens	HP15
GCA_000166315	SSU_1	3	Bifidobacterium longum subsp. longum BBMN68	Bifidobacterium longum	BBMN68
GCA_000166335	SSU_2:SSU_1	2:1	Caldicellulosiruptor owensensis OL	Caldicellulosiruptor owensensis	OL
GCA_000166355	SSU_1	3	Caldicellulosiruptor hydrothermalis 108	Caldicellulosiruptor hydrothermalis	108
GCA_000166395	SSU_1	3	Leadbetterella byssophila DSM 17132	Leadbetterella byssophila	DSM 17132
GCA_000166415	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Halanaerobium hydrogeniformans	Halanaerobium hydrogeniformans	NA
GCA_000166455	SSU_3:SSU_4:SSU_5:SSU_1:SSU_2	2:2:1:1:1	Vibrio cholerae O1 str. 2010EL-1786	Vibrio cholerae	2010EL-1786
GCA_000166635	SSU_1	1	Borreliella burgdorferi N40	Borreliella burgdorferi	N40
GCA_000166655	SSU_1	1	Borreliella burgdorferi JD1	Borreliella burgdorferi	JD1
GCA_000166695	SSU_2:SSU_1	2:1	Caldicellulosiruptor kristjanssonii I77R1B	Caldicellulosiruptor kristjanssonii	I77R1B
GCA_000166775	SSU_1:SSU_2:SSU_3	1:1:1	Caldicellulosiruptor kronotskyensis 2002	Caldicellulosiruptor kronotskyensis	2002
GCA_000168315	SSU_1	2	Xanthomonas oryzae pv. oryzicola BLS256	Xanthomonas oryzae	BLS256
GCA_000168355	SSU_1	4	Streptococcus suis 05HAS68	Streptococcus suis	05HAS68
GCA_000168575	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	2:1:1:1:1	Listeria monocytogenes FSL R2-561	Listeria monocytogenes	FSL R2-561
GCA_000168595	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	2:1:1:1:1	Listeria monocytogenes Finland 1998	Listeria monocytogenes	Finland 1988
GCA_000168635	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Listeria monocytogenes J0161	Listeria monocytogenes	J0161
GCA_000168695	SSU_1:SSU_2:SSU_3	2:2:2	Listeria monocytogenes 10403S	Listeria monocytogenes	10403S
GCA_000168775	SSU_1	3	Francisella tularensis subsp. holarctica FSC200	Francisella tularensis	FSC200
GCA_000168875	SSU_1	1	Coxiella burnetii 'MSU Goat Q177'	Coxiella burnetii	MSU Goat Q177
GCA_000169195	SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1:1	Bacillus coagulans 36D1	Bacillus coagulans	36D1
GCA_000169215	SSU_4:SSU_1:SSU_5:SSU_2:SSU_3	3:2:1:1:1	Shewanella putrefaciens 200	Shewanella putrefaciens	200
GCA_000171795	SSU_1	3	Campylobacter jejuni subsp. jejuni CG8421	Campylobacter jejuni	CG8421
GCA_000172575	SSU_2:SSU_1	3:1	Enterococcus faecalis OG1RF	Enterococcus faecalis	OG1RF
GCA_000172635	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Alteromonas macleodii ATCC 27126	Alteromonas macleodii	ATCC 27126
GCA_000172695	SSU_1	3	Rhizobium sp. Kim5	Rhizobium sp.	Kim5
GCA_000172715	SSU_1:SSU_2	2:1	Rhizobium phaseoli Brasil 5	Rhizobium phaseoli	Brasil 5
GCA_000172795	SSU_1	3	Rhizobium sp. CIAT894	Rhizobium sp.	CIAT894
GCA_000172995	SSU_1:SSU_2	1:1	Halogeometricum borinquense DSM 11551	Halogeometricum borinquense	PR 3
GCA_000174395	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Enterococcus faecium DO	Enterococcus faecium	DO
GCA_000174795	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Geobacillus sp. Y412MC52	Geobacillus sp.	Y412MC52
GCA_000175095	SSU_1	1	Nitrosomonas sp. AL212	Nitrosomonas sp.	AL212
GCA_000175115	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Geobacter sp. M18	Geobacter sp.	M18
GCA_000175215	SSU_1	3	Asticcacaulis excentricus CB 48	Asticcacaulis excentricus	CB 48
GCA_000175255	SSU_1	2	Zymomonas mobilis subsp. mobilis ATCC 10988	Zymomonas mobilis	ATCC 10988
GCA_000175295	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Thermoanaerobacter brockii subsp. finnii Ako-1	Thermoanaerobacter brockii	Ako-1
GCA_000175575	SSU_1	2	Acidithiobacillus caldus ATCC 51756	Acidithiobacillus caldus	ATCC 51756
GCA_000175935	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Pantoea sp. At-9b	Pantoea sp.	At-9b
GCA_000176035	SSU_1	2	Mesorhizobium opportunistum WSM2075	Mesorhizobium opportunistum	WSM2075
GCA_000176115	SSU_1:SSU_2:SSU_3	4:1:1	Streptomyces pratensis ATCC 33331	Streptomyces pratensis	ATCC 33331
GCA_000176835	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	3:1:1:1:1	Serratia plymuthica 4Rx13	Serratia plymuthica	4Rx13
GCA_000176855	SSU_2:SSU_1	2:1	Acidovorax avenae subsp. avenae ATCC 19860	Acidovorax avenae	ATCC 19860
GCA_000176915	SSU_1:SSU_2	1:1	Pseudodesulfovibrio aespoeensis Aspo-2	Pseudodesulfovibrio aespoeensis	Aspo-2
GCA_000176935	SSU_1:SSU_2:SSU_3	4:1:1	Burkholderia sp. CCGE1001	Burkholderia sp.	CCGE1001
GCA_000177195	SSU_1:SSU_2	5:1	Streptomyces sp. SirexAA-E	Streptomyces sp.	SirexAA-E
GCA_000177235	SSU_9:SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1:1	Bacillus cellulosilyticus DSM 2522	Bacillus cellulosilyticus	DSM 2522
GCA_000177255	SSU_1	2	Rhodopseudomonas palustris DX-1	Rhodopseudomonas palustris	DX-1
GCA_000177535	SSU_1:SSU_2:SSU_3	1:1:1	Corynebacterium resistens DSM 45100	Corynebacterium resistens	DSM 45100
GCA_000177615	SSU_1	2	Frankia symbiont of Datisca glomerata	Frankia symbiont	4085684
GCA_000177635	SSU_1:SSU_2	2:1	Desulfurispirillum indicum S5	Desulfurispirillum indicum	S5
GCA_000177655	SSU_1:SSU_2:SSU_3	1:1:1	Micromonospora sp. L5	Micromonospora sp.	L5
GCA_000178115	SSU_1	3	Ethanoligenens harbinense YUAN-3	Ethanoligenens harbinense	YUAN-3
GCA_000178395	SSU_2:SSU_6:SSU_5:SSU_8:SSU_1:SSU_7:SSU_3:SSU_4	2:2:1:1:1:1:1:1	Parageobacillus thermoglucosidasius C56-YS93	Parageobacillus thermoglucosidasius	C56-YS93
GCA_000178495	SSU_1	6	Actinobacillus pleuropneumoniae serovar 1 str. 4074	Actinobacillus pleuropneumoniae	4074
GCA_000178835	SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_11:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1:1:1	Cellulosilyticum lentocellum DSM 5427	Cellulosilyticum lentocellum	DSM 5427
GCA_000178875	SSU_8:SSU_6:SSU_5:SSU_1:SSU_2:SSU_7:SSU_3:SSU_4	2:2:1:1:1:1:1:1	Shewanella baltica OS678	Shewanella baltica	OS678
GCA_000178935	SSU_1:SSU_2	1:1	Helicobacter pylori 35A	Helicobacter pylori	35A
GCA_000178955	SSU_1	1	Granulicella mallensis MP5ACTX8	Granulicella mallensis	MP5ACTX8
GCA_000178975	SSU_1	1	Granulicella tundricola MP5ACTX9	Granulicella tundricola	MP5ACTX9
GCA_000179015	SSU_1	3	Alicycliphilus denitrificans BC	Alicycliphilus denitrificans	BC
GCA_000179035	SSU_1	1	Mycoplasma suis str. Illinois	Mycoplasma suis	Illinois
GCA_000179395	SSU_1	6	Corynebacterium variabile DSM 44702	Corynebacterium variabile	DSM 44702
GCA_000179575	SSU_1:SSU_2	1:1	Methanothermococcus okinawensis IH1	Methanothermococcus okinawensis	IH1
GCA_000179635	SSU_2:SSU_1	3:1	Ruminococcus albus 7 = DSM 20455	Ruminococcus albus	7
GCA_000179915	SSU_1	1	Terriglobus saanensis SP1PR4	Terriglobus saanensis	SP1PR4
GCA_000180175	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Plautia stali symbiont	Plautia stali	NA
GCA_000180515	SSU_2:SSU_1	3:1	Streptococcus pneumoniae SPNA45	Streptococcus pneumoniae	A45
GCA_000182745	SSU_1	5	Komagataeibacter medellinensis NBRC 3288	Komagataeibacter medellinensis	NBRC 3288
GCA_000182835	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Lactobacillus delbrueckii subsp. bulgaricus ND02	Lactobacillus delbrueckii	ND02
GCA_000182875	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Streptococcus thermophilus ND03	Streptococcus thermophilus	ND03
GCA_000183115	SSU_1	2	Methylovorus sp. MP688	Methylovorus sp.	MP688
GCA_000183135	SSU_1	3	Paludibacter propionicigenes WB4	Paludibacter propionicigenes	WB4
GCA_000183155	SSU_1	3	Riemerella anatipestifer ATCC 11845 = DSM 15868	Riemerella anatipestifer	DSM 15868
GCA_000183185	SSU_1	1	Mycoplasma hyopneumoniae 168	Mycoplasma hyopneumoniae	168
GCA_000183225	SSU_1	1	Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Buchnera aphidicola	LL01
GCA_000183245	SSU_1	1	Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Buchnera aphidicola	TLW03
GCA_000183285	SSU_1	1	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Buchnera aphidicola	JF99
GCA_000183305	SSU_1	1	Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Buchnera aphidicola	JF98
GCA_000183345	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli O83:H1 str. NRG 857C	Escherichia coli	NRG 857C
GCA_000183365	SSU_1:SSU_2	1:1	Mycoplasma leachii PG50	Mycoplasma leachii	PG50
GCA_000183385	SSU_1:SSU_2	1:1	Mycoplasma bovis PG45	Mycoplasma bovis	PG45
GCA_000183405	SSU_1:SSU_2	1:1	Calditerrivibrio nitroreducens DSM 19672	Calditerrivibrio nitroreducens	DSM 19672
GCA_000183425	SSU_1	2	Marivirga tractuosa DSM 4126	Marivirga tractuosa	DSM 4126
GCA_000183645	SSU_2:SSU_3:SSU_1	4:2:1	Pseudomonas putida BIRD-1	Pseudomonas putida	BIRD-1
